Pos,Player,MatchesPlayed,Points,BWP,BLP,W,L,D,PD
1,M_RAVE,4,15,3,0,3,1,0,208.0
2,MCTS,4,15,3,0,3,1,0,108.0
3,Random,4,0,0,0,0,4,0,-316.0
