Name,TimeLimit,Turn,Iter
M_RAVE,10,24,689
MCTS,10,25,643
M_RAVE,10,25,726
MCTS,10,26,732
M_RAVE,10,26,784
MCTS,10,27,829
M_RAVE,10,27,849
MCTS,10,28,836
M_RAVE,10,28,949
MCTS,10,29,920
M_RAVE,10,29,1004
MCTS,10,30,1003
M_RAVE,10,30,1120
MCTS,10,31,1126
M_RAVE,10,31,1223
MCTS,10,32,1324
M_RAVE,10,32,1501
MCTS,10,33,1210
M_RAVE,10,33,1831
MCTS,10,34,1447
M_RAVE,10,34,2273
MCTS,10,35,2203
M_RAVE,10,35,4096
MCTS,10,36,5161
M_RAVE,10,1,296
M_RAVE,10,2,309
M_RAVE,10,3,307
M_RAVE,10,4,301
M_RAVE,10,5,310
M_RAVE,10,6,354
M_RAVE,10,7,355
M_RAVE,10,8,366
M_RAVE,10,9,373
M_RAVE,10,10,383
M_RAVE,10,11,363
M_RAVE,10,12,238
M_RAVE,10,13,306
M_RAVE,10,14,344
M_RAVE,10,15,324
M_RAVE,10,16,416
M_RAVE,10,17,448
M_RAVE,10,18,467
M_RAVE,10,19,471
M_RAVE,10,20,539
M_RAVE,10,21,537
M_RAVE,10,22,566
M_RAVE,10,23,617
M_RAVE,10,24,660
M_RAVE,10,25,728
M_RAVE,10,26,825
M_RAVE,10,27,832
M_RAVE,10,28,990
M_RAVE,10,29,1068
M_RAVE,10,30,1163
M_RAVE,10,31,1293
M_RAVE,10,32,1624
M_RAVE,10,33,1848
M_RAVE,10,34,2228
M_RAVE,10,35,3550
M_RAVE,10,1,370
M_RAVE,10,2,362
M_RAVE,10,3,269
M_RAVE,10,4,337
M_RAVE,10,5,330
M_RAVE,10,6,338
M_RAVE,10,7,368
M_RAVE,10,8,374
M_RAVE,10,9,376
M_RAVE,10,10,366
M_RAVE,10,11,393
M_RAVE,10,12,420
M_RAVE,10,13,407
M_RAVE,10,14,465
M_RAVE,10,15,460
M_RAVE,10,16,494
M_RAVE,10,17,491
M_RAVE,10,18,528
M_RAVE,10,19,554
M_RAVE,10,20,590
M_RAVE,10,21,464
M_RAVE,10,22,421
M_RAVE,10,23,641
M_RAVE,10,24,735
M_RAVE,10,25,755
M_RAVE,10,26,808
M_RAVE,10,27,846
M_RAVE,10,28,983
M_RAVE,10,29,998
